author,text,likes,date,sentiment
@fatemabegum3366,safari king❤❤😮😮,0,2024-04-13T08:06:10Z,Neutral
@singhashwani031,Only thing I don’t like with safari is the last window design and infotainment system else it would have been surely my 1st choice. Specially Dark,1,2022-08-01T03:17:22Z,Neutral
@utkarshdwivedi6600,Safari is near perfect but lacks on few major stuff 1st & most important its dash it look like  10lac cars dash i have suggestions tata should take inspiration from either ford or vw & skoda their steering wheel look classy n modern forget them just see land rovers steering the infotainment love to see xuv like infotainment. N thud of gates i dont know why but it doesn't give same thud as superb or fortuner & last give it a new engine 190+ bhp petrol/ or hybrid with your 170bhp to reach ot 200bhp these will give safari a proper heavy weight why would somebuy a fortuner when you are getting a similar in styling but better internally. When a folk go for a safari over harrier he clearly going for proper premium make safari little expensive but make it more elegant make its engine more refine give it power to do drag these things are not practical but have a very big psycological impact.,0,2022-05-27T20:38:32Z,Positive
@pranavchaskar,It's not safari until  it gets at least basic AWD. Front wheel drive Cross over can't be Safari.,0,2022-02-23T10:03:11Z,Neutral
@yogeshchadha7025,any update on launch of safari petrol version ?,0,2022-02-12T08:35:38Z,Neutral
@Me-ws5zt,"Who are you? 
I am Harrier 
Son of velar and safari.",0,2022-02-11T08:36:06Z,Neutral
@Y2Kvids,I can see the safari ness,0,2022-02-10T13:17:07Z,Neutral
@mukherjeechandr379,"A lot of people are complaining about 360 degree camera and nicer infotainment, but only a fewer people know thats where Tata is earning money. 360 camera and better infotainment requires more semiconductor sensor chips and there has been a global shortage of it. Thats why XUV700 has waiting period of 15 months, where as Safari is available within 45 days. People who don’t wanna wait for 18 months are going for Safari and that’s where Tata is earning money. Thats called business.",0,2022-02-10T12:58:57Z,Positive
@shariaronaleash,"NO 4WD NO AUTOMATIC BOOT... NO SPSCE FOR LUGGAGE - MARUTI XLR IS BETTER. VERY SAF TATA SAFARI JUST A BLACK SHINY EMPTY BOX.

ALL THAT GLITTERS IS NOT GOLD.

Rs 22 lakhs and no 4WD What a shame",0,2022-02-10T11:15:05Z,Positive
@kiranmathur,Lol another Paint Job in an Extended Harrier & Potray as if its a brand new vehicle & Hike the price 🤣🤣,0,2022-02-10T08:47:10Z,Positive
@vigneshlx4300,"I have booked safari dark over over Xuv 700:
1) Superb road presence.  Can compete with fortuner,  though it is a segment above.
2) Interior feels plush (except for poor infotainment system) due to soft touch materials used.
3) Get a 7 seater. Because safari is proper 7 seater or atleast you can use it as 6 seater by tumbling one side of the last row seat to increase the boot capacity. 

Do not buy 6 seater in safari or other cars, because in this segment, the last row is not so wide like fortuner or endeavors. And ultimately, you will be forced to use this 6 seater as 4 seater car due to compromised last row. 

This is unacceptable, if you fathom that triber or ertiga is good 7 seater than these cars are.

In case of Hector or alacazar, it is a 4 seater (if you are going for 6 seater configuration), because last row is barely usable. 
4) All features except for adas, are present in safari too. Bad impression comes due to infotainment systems.
5) JBL is very good over Sony speakers. It may seem weird, but park xuv700 and safari and play same song, you'll understand what I am saying. Somehow the bass and treble is better in JBL. Sony was just being loud than JBL. Quality was compromised.",16,2022-02-10T02:25:35Z,Neutral
@Lonewolf9898,This colour makes safari true mafia car 😎,4,2022-02-09T10:48:51Z,Positive
@eprabhat,"Tata Safari need to match up to the equipment levels in the market from XUV700 , Alcazar and Carens",2,2022-02-09T07:36:58Z,Neutral
@adityat5905,"Infotainment system needs a complete overhaul..
Electronic steering wheel..(or option of steering modes)
A little more power/torque (180/375) .... just an example i felt my safari a bit underpowered with full load.. 
Better HeadLamps..
360 cam
Ventillated seats and wireless charger (in standard colours also).. I think they have started doing this!
Option of 4x4 (not for me)..

IF TATA EVER DID THESE THINGS TO SAFARI (with increasing proice ofcourse) ,IT WILL BECOME A VIABLE REPLACEMENT OF FORTUNER!!

These are the reasons why XUV 700 has a waiting period of 15-18 months..!!


naya colour dene se kaam nai chalega😂😂",3,2022-02-09T05:54:03Z,Positive
@friendbuddy4171,any news regarding 4*4 safari ?,0,2022-02-09T03:07:29Z,Neutral
@sidd4419,"Better infotainment system, AWD, ADAS, full LED headlamps, 360° parking camera and ventilated seats will make the safari much more premium and appealing.",6,2022-02-09T02:17:53Z,Positive
@sangeethsuresh9320,"Well the new dark edition of the tata safari looks very good. Both the interior and exterior looks great in black. 
However tata could have upgraded the interior infotainment system by giving a larger touch screen and also More features could have added to.",4,2022-02-09T00:44:28Z,Positive
@aniketsanjayshirsekar7932,Yes Tata safari should get a alloys wheel design change and has well has thee infotainment system more bigger and Ambien lights . Bcz alloys wheel don't look that great  . And a longer wheel base in future update.,0,2022-02-08T19:57:59Z,Neutral
@ullas2cool,"What happend to safari, 6ft person used to look tiny in front of old safari. Now it looks like the person can look on the roof without stretching legs.",2,2022-02-08T19:46:44Z,Neutral
@pritpalsingh5844,"Hi, Autocar India, for a very nice review of TATA Safari Dark edition. Once again TATA Motors misses out the all White LED Headlights & Fog Lights, instead of Yellow Halogen Lights, second why 18"" alloys wheels?, instead of bigger 20"" gun metal alloys. Rest, very good looking vehicle. Same thing is in TATA Punch & it's siblings like Harrier, Tiago. Tigor, Altroz. Why? Is TATA Motors is listening to its customers.",1,2022-02-08T18:55:34Z,Positive
@AliKhan-ww2gr,Looking beautiful safari.,0,2022-02-08T18:04:23Z,Positive
@ssawian,Tall boy makes Safari look small 😄,0,2022-02-08T17:58:39Z,Negative
@ijs_autoandmore,Meanwhile people in India waiting for TATA to launch -- Safari dark edition petrol CNG 😎😎😂😂,0,2022-02-08T17:41:54Z,Negative
@shashikantganesh6699,That time has come Tata Safari to be electrical car,0,2022-02-08T17:03:53Z,Neutral
@namanrao1103,The safari looks short in front of JAY PATIL!,1,2022-02-08T16:49:47Z,Neutral
@DKRamnani,"Safari and harrier needs a new infotainment system, steering and ADAS to complete with XUV700",6,2022-02-08T16:44:51Z,Positive
@jsvigneshwaran,Safari the great SUV !,0,2024-10-26T03:58:57Z,Positive
@akash6327,I have watched 100's of review to book this safari... Ab har cheese ratt gaya he muje.. trust me this guys review is amazing.. crisp and perfect,1,2024-09-08T19:50:41Z,Positive
@somilbijur8137,Bro called safari affordable 😅,0,2024-07-09T10:45:30Z,Neutral
@lalruatfela3394,"You've got a new subscriber.
Do something no other YouTuber has done(hoping your friend allows) - do a capability test with regards to offroad for the Safari. Many people, even those that do not specifically want a 4x4 are apprehensive of buying it because of its FWD system. This includes those from the hills where they have to tackle the occational muddy roads and landslide damaged roads. 
Do a follow up video on this.",2,2024-03-06T10:05:05Z,Positive
