index,message,fear,anger,anticipation,trust,surprise,positive,negative,sadness,disgust,joy
0,700 is good but safari has goos stability suspension and fuel effienciency and some practical features.,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.14285714285714285
1,How’s the experience so far ? Any issues or complaints? I am actually confused between XUV 700 and Safari,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,"Hi friends, has anyone upgraded to Tata Safari from Innova Crysta 2.4 manual or automatic? I want to know how's the experience.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Anyone looking to sell Tata Safari in Hyderabad?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Tata safari Adventure plus Manual is good??? I am looking .....please let me know your opinion,0.0,0.0,0.25,0.25,0.125,0.25,0.0,0.0,0.0,0.125
5,Can anyone tell me from where can I get the tata safari stormes bonut visor?,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0
6,https://t.me/Harrier_EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,"Tata safari XZA+ (Top Variant) 
Red Dark Edition 
May’2023 (Oberoin Black) 36k Kms.
*UNDER WARRANTY*
1st owner *BRILLIANTLY MAINTAINED*
PPF DONE Garware 3 years warranty. 
valid insurance done till May 2026
Asking Price 22.75 lacs.  
Only for genuine families and car lovers
*DEALERS WILL NOT BE ENTERTAINED STRICTLY*",0.0,0.0,0.13333333333333333,0.26666666666666666,0.0,0.3333333333333333,0.06666666666666667,0.13333333333333333,0.0,0.06666666666666667
8,Hi there. Looking to sell my Tata safari xza+ in mumbai,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,"""Hi, I recently bought a Safari and I'm facing an issue with second gear. If the car's speed drops below 12-13 km/h while in second gear, the engine stalls and I have to shift to first gear. Is this normal for Safari?""",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
10,I want tata safari pictures,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,"Wanted opinion from members about Dash cam. 
Safari should provide company fitted dashcam, like some car companies.",0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0
12,I own a Tata Safari 2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,"https://youtu.be/muue5tsL-Fw?si=IH-COUsZXopFjnzM

New Tata Safari 2024",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Go for Safari city mileage is 11kmpl and highway 17-18kmpl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Is anyone aware about clutch oil pipe issue in Safari?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Does anyone have Safari Accomplished Owners Manual soft copy?,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.0,0.0,0.25
17,What is the ideal tyre pressure to be maintained in the Safari?,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
18,Follow the Tata Safari Driving Experience channel on WhatsApp: https://whatsapp.com/channel/0029VaALdgg23n3ja2Nv171R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,"Hi everyone,
I want to purchase second hand Tata Safari 2021/22 model
Variant: minimum XT

Manual/Automatic - not decided

Can anyone tell me mileage of Manual & Automatic on highway & city ???
Is there any problem with manual transmission in foot well area or deep clutch or Hard clutch??",0.125,0.0,0.0,0.375,0.0,0.125,0.25,0.125,0.0,0.0
20,"https://youtu.be/-JA0kR1nWRg

Tata Safari / Harrier Fans in and around Bangalore. I am suggesting you unexplored place for your Highway and Country side drives..",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,customized weather shields for our safari’s price on request. Pan India Delivery available,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0
22,"I have Tata Safari XZ+ 2022 model Manual transmission day before yesterday when I am driving there is Somke came from the bonnet in 50 km of driving, so I stopped called the near by service center.. they took my car by Gain and check yesterday and told that it's from clutch pad due to friction no need to worry about it. Is this any one face the same kind of problem what is the solution for this?",0.1,0.05,0.1,0.15,0.0,0.3,0.1,0.1,0.0,0.1
23,"For Bangalore 

Nimesh This side from Kantar its Market Research Company.
We are conducting research on SUV Car Features.

For that we are looking for below cars


Mahindra XUV7OO
Kia Carens
Hyundai Alcazar
Tata Safari new
MG Hector Plus

Who bought after April 2022

Maruti Ertiga
Maruti XL6

Date - 27 And 28

Iris - The Business Hotel and Spa
70, Brigade Rd, Ashok Nagar, 
Bengaluru, Karnataka 560025

Nimesh Mewada
9821359010",0.25,0.0,0.125,0.125,0.125,0.125,0.125,0.0,0.0,0.125
24,Good. I will get my new safari next week delivered. Thought of joining this club early. Hope my membership is accepted.,0.0,0.0,0.2727272727272727,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.0,0.0,0.0,0.18181818181818182
25,"Hi, I am pavan from Bangalore, recently bought, TATA Safari Adventure persona 2022",0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0
26,"Hi Mayur here from Pune 
Owns Tata SAFARI XZA",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,"Yes, this group is only about Harrier EV",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Shall i go harrier ev or safari please suggestion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,But interesting part is they dont have any accessory for harrier ev yet,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
30,Harrier ev looks really value for money... compared to this ev,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666
31,"Hi i m planning to buy harrier ev in mumbai 75 kw empowered rwd 
How is the car and service",0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
32,Harrier.ev Charging Curve.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
