message,cleaned_message,language,translated_message,sentiment
700 is good but safari has goos stability suspension and fuel effienciency and some practical features., is good but safari has goos stability suspension and fuel effienciency and some practical features,en,700 is good but safari has goos stability suspension and fuel effienciency and some practical features.,Positive
How’s the experience so far ? Any issues or complaints? I am actually confused between XUV 700 and Safari,hows the experience so far any issues or complaints i am actually confused between xuv and safari,en,How’s the experience so far ? Any issues or complaints? I am actually confused between XUV 700 and Safari,Negative
"Hi friends, has anyone upgraded to Tata Safari from Innova Crysta 2.4 manual or automatic? I want to know how's the experience.",hi friends has anyone upgraded to tata safari from innova crysta manual or automatic i want to know hows the experience,en,"Hi friends, has anyone upgraded to Tata Safari from Innova Crysta 2.4 manual or automatic? I want to know how's the experience.",Neutral
Anyone looking to sell Tata Safari in Hyderabad?,anyone looking to sell tata safari in hyderabad,tl,Anyone looking to sell Tata Safari in Hyderabad?,Neutral
Tata safari Adventure plus Manual is good??? I am looking .....please let me know your opinion,tata safari adventure plus manual is good i am looking please let me know your opinion,en,Tata safari Adventure plus Manual is good??? I am looking .....please let me know your opinion,Positive
Can anyone tell me from where can I get the tata safari stormes bonut visor?,can anyone tell me from where can i get the tata safari stormes bonut visor,en,Can anyone tell me from where can I get the tata safari stormes bonut visor?,Neutral
https://t.me/Harrier_EV,,unknown,https://t.me/Harrier_EV,Neutral
"Tata safari XZA+ (Top Variant) 
Red Dark Edition 
May’2023 (Oberoin Black) 36k Kms.
*UNDER WARRANTY*
1st owner *BRILLIANTLY MAINTAINED*
PPF DONE Garware 3 years warranty. 
valid insurance done till May 2026
Asking Price 22.75 lacs.  
Only for genuine families and car lovers
*DEALERS WILL NOT BE ENTERTAINED STRICTLY*",tata safari xza top variant red dark edition may oberoin black k kms under warranty st owner brilliantly maintained ppf done garware years warranty valid insurance done till may asking price lacs only for genuine families and car lovers dealers will not be entertained strictly,en,"Tata safari XZA+ (Top Variant) 
Red Dark Edition 
May’2023 (Oberoin Black) 36k Kms.
*UNDER WARRANTY*
1st owner *BRILLIANTLY MAINTAINED*
PPF DONE Garware 3 years warranty. 
valid insurance done till May 2026
Asking Price 22.75 lacs.  
Only for genuine families and car lovers
*DEALERS WILL NOT BE ENTERTAINED STRICTLY*",Positive
Hi there. Looking to sell my Tata safari xza+ in mumbai,hi there looking to sell my tata safari xza in mumbai,en,Hi there. Looking to sell my Tata safari xza+ in mumbai,Neutral
"""Hi, I recently bought a Safari and I'm facing an issue with second gear. If the car's speed drops below 12-13 km/h while in second gear, the engine stalls and I have to shift to first gear. Is this normal for Safari?""",hi i recently bought a safari and im facing an issue with second gear if the cars speed drops below kmh while in second gear the engine stalls and i have to shift to first gear is this normal for safari,en,"""Hi, I recently bought a Safari and I'm facing an issue with second gear. If the car's speed drops below 12-13 km/h while in second gear, the engine stalls and I have to shift to first gear. Is this normal for Safari?""",Neutral
